категория;номер;domanda;вопрос;risposta1;ответ1;risposta2;ответ2;risposta3;ответ3;risposta4;ответ4;правильный ответ;
A Tavola: sapori e storia;1;"Quale di questi piatti, sebbene inventato in Italia, è diventato all'estero una ""pasta-simbolo"", mentre in Italia stessa la sua versione ""straniera"" ha una reputazione discutibile ed è considerata una distorsione culinaria?";Какое из этих блюд, хоть и было изобретено в Италии, стало за рубежом «пастой-символом», хотя в самой Италии его «заграничная» версия имеет сомнительную репутацию и считается кулинарным искажением?;Carbonara;;Fettuccine Alfredo;;Lasagne alla Bolognese;;Spaghetti all'Amatriciana;;2;
A Tavola: sapori e storia;2;Questo piatto è un ospite obbligatorio sulla tavola di Natale in Italia, mentre in Russia è il re del banchetto di Capodanno. Di quale piatto si tratta e con quale nome è conosciuto dagli italiani?;Это блюдо, обязательный гость на рождественском столе в Италии, а в России является королем новогоднего застолья. О каком блюде идет речь и под каким названием оно известен итальянцам?;Insalata russa / Русский салат (Оливье в России);;;;;;;;;
A Tavola: sapori e storia;3;Davanti a voi ci sono quattro dessert insoliti. Quale di questi dessert non appartiene alla tradizione culinaria italiana?;Перед вами четыре странных десерта. Какой из этих десертов не относится к итальянской кулинарной традиции? ;Melanzane al cioccolato - Старинный десерт монастырской кухни. Ломтики баклажанов жарят, а затем укладывают слоями с домашней шоколадной пастой и кедровыми орешками. ;;Sanguinaccio dolce – традиционный карнавальный кремовый дессерт из свиной крови, которая подслащивается такими ингредиентами, как шоколад, молоко, кедровые орехи, корица, изюм и сахар;;Sanguinaccio dolce – традиционный карнавальный кремовый дессерт из свиной крови, которая подслащивается такими ингредиентами, как шоколад, молоко, кедровые орехи, корица, изюм и сахар;;Torta salata di formaggio fresco con pancetta. Основа — хрустящий песочный корж, залитый начинкой из творога (fromage blanc), яиц, сахара и... кубиков бекона.;;4;
A Tavola: sapori e storia;4; «Anno 1889, Napoli. La regina Margherita di Savoia con il marito visita per la prima volta la capitale del Sud. Un pizzaiolo locale, Raffaele Esposito, prepara per lei tre pizze. Una di queste – con pomodoro, mozzarella e basilico – conquista la sovrana e riceve il suo nome. Ma gli storici hanno dei dubbi: è davvero successo proprio allora e proprio così? Il vostro compito è indovinare quale di questi fatti NON corrisponde alla leggenda comunemente accettata, ma discutibile?»;«1889 год, Неаполь. Королева Маргарита Савойская с мужем впервые посещает южную столицу. Местный пиццайоло Раффаэле Эспозито готовит для неё три пиццы. Одна из них — с помидором, моцареллой и базиликом — покоряет монаршую особу и получает её имя. Но историки сомневаются: а правда ли это было именно тогда и именно так? Ваша задача — догадаться, какой из этих фактов НЕ соответствует общепринятой, но спорной легенде?»;;Пиццайоло действительно подарил королеве три пиццы, одна из которых была с цветами флага.;;Рецепт такой пиццы существовал в Неаполе и раньше, лет за 30 до визита королевы.;;Королева лично придумала рецепт и отдала его повару.  ;;Благодарный пиццайоло получил от дворца официальное благодарственное письмо, которое сохранилось.;3;
A Tavola: sapori e storia;5;" L'ingrediente principale di una famosa salsa italiana è un'erba il cui nome deriva dalla parola greca che significa ""regale"". E il nome della salsa stessa deriva da un verbo italiano che descrive il modo in cui viene preparata. Qual è questa salsa e qual è questa erba?";Главный ингредиент одного знаменитого итальянского соуса — трава, чьё название происходит от греческого слова, означающего «царский». А название самого соуса происходит от итальянского глагола, описывающего способ его приготовления. Что это за соус и что это за трава?;Соус песто (pesto), трава — базилик (basilico);;;;;;;;;
A Tavola: sapori e storia;6;"Come si chiama il formaggio il cui nome deriva dal dialetto napoletano e significa ""un taglio""?";Какой итальянский сыр получил своё название от слова в неаполитанском диалекте, означающего «отрезанный кусок» или «то, что отрезано»?;la mozzarella;;;;;;;;;
A Tavola: sapori e storia;7;Quali di questi formaggi fanno parte della triade più famosa della regione Emilia-Romagna: Parmigiano Reggiano DOP /   Ragusano DOP / Mozzarella di Bufala DOP / Squacquerone DOP / Pecorino Romano DOP / Grana Padano DOP;Какие из этих сыров входят в тройку самых известных сыров региона Emiglia Romagna: Parmigiano Reggiano DOP /   Ragusano DOP / Mozzarella di Bufala DOP / Squacquerone DOP / Pecorino Romano DOP / Grana Padano DOP;;Parmigiano Reggiano DOP, Squacquerone DOP , Grana Padano DOP;;;;;;;;
A Tavola: sapori e storia;8;"In Italia, un cereale viene storicamente chiamato ""grano saraceno"" – ""grano saraceno"" (""grano dei saraceni""). Di quale cereale si tratta? Quale versione sull'origine del nome è più probabile?";В Италии одну крупу исторически называют «grano saraceno» — «сарацинское зерно». О какой крупе идёт речь? Какая версия происхождения названия наиболее вероятна?;;Рис ;;Гречка ;;Овёс ;;Пшеница ;2;
A Tavola: sapori e storia;9;Nella cucina italiana esiste un tabù non scritto: non abbinare il pesce con formaggi stagionati (ad esempio, il parmigiano). Quale di questi argomenti è per gli italiani quello principale e culturalmente motivato, e non semplicemente soggettivo?;В итальянской кухне есть негласное табу: не сочетать рыбу с выдержанным сыром (например, пармезаном). Какой из этих аргументов является для итальянцев главным и культурно-обоснованным, а не просто субъективным?;;Молочный белок (казеин) и белок рыбы при совместном употреблении требуют разных ферментов для переваривания, что, по народному убеждению, ведёт к тяжести в желудке.;;Рыба — постный продукт, а сыр — скоромный, их смешение нарушает церковные традиции.;;Интенсивный, солёный вкус выдержанного сыра полностью «убивает» тонкий вкус рыбы, создавая дисгармонию;;Интенсивный, солёный вкус выдержанного сыра полностью «убивает» тонкий вкус рыбы, создавая дисгармонию;3;
A Tavola: sapori e storia;10;;Итальянский фольклорист Giuseppe Pitrè так описывает этот десерт: «Но самым желанным из любого карнавального угощения является ________, лакомый кусочек для простолюдинов, буржуа и знати, вожделенный для бедных и богатых. _________ — это начинённая вафля, сладковатое, обжаренное и нежнейшее тесто, свёрнутое в форме толстой трубки или бутона, которое наполняют изысканным кремом из молока, сахара или сиропа, шоколада, фисташек и других подобных ингредиентов. Без _________ что такое карнавальный пир, как не еда без питья, кладка без раствора, пребывание в темноте во время беседы?». О каком десерте идет речь?;Сannoli — «трубочки», сиц. Cannolu  — традиционный сицилийский десерт: вафельная хрустящая трубочка с начинкой из сыра;;;;;;;;;
A Tavola: sapori e storia;11;Quale di questi ripieni/aggiunte si trova più raramente nella pasta italiana classica?;Какая из этих начинок/добавок реже всего встречается в классической итальянской пасте?;;Курица (pollo);;Картофель (patate);;Gorgonzola;;Свинина (maiale, в виде гуанчале, панчетты, сальсиччи);1;
Pillole di Storia;1;Le quattro Repubbliche Marinare — Genova, Pisa, Venezia e Amalfi — sono per sempre iscritte nella storia d'Italia. Cosa si svolge ogni anno a turno in una di queste città, simboleggiando la loro antica rivalità?;Четыре морские республики (Repubbliche Marinare) — Генуя, Пиза, Венеция и Амальфи — навсегда вписаны в историю Италии. Что ежегодно проходит по очереди в одном из этих городов, символизируя их древнее соперничество?;Четыре морские республики (Repubbliche Marinare) — Генуя, Пиза, Венеция и Амальфи — навсегда вписаны в историю Италии. Что ежегодно проходит по очереди в одном из этих городов, символизируя их древнее соперничество?;;;;;;;;;
Pillole di Storia;2;Quale grande opera della letteratura italiana (e successivamente film) ha mostrato come l'invasione di Garibaldi e l'Unità d'Italia abbiano cambiato la vita dell'aristocrazia siciliana, costringendola ad adattarsi a un nuovo mondo?;Какое великое произведение итальянской литературы (и позднее — фильм) показало, как вторжение Гарибальди и объединение Италии изменили жизнь сицилийской аристократии, заставив её приспосабливаться к новому миру?;"«Леопард» / ""Il Gattopardo"" Джузеппе Томази ди Лампедуза (фильм Лукино Висконти).";;;;;;;;;
Pillole di Storia;3;"Il celebre coro ""Va, pensiero"" dell'opera di Verdi ""Nabucco"" in Italia è talvolta chiamato ""il secondo inno nazionale"". Durante quale processo storico è diventato particolarmente amato dal popolo e perché?";Знаменитый хор «Va, pensiero» из оперы Верди «Набукко» в Италии иногда называют «вторым национальным гимном». Во время какого исторического процесса он больше всего полюбился народу и почему?;Во время Рисорджименто (Объединения Италии), потому что в тексте речь о пленённом народе, жаждущем свободы, что было понятно итальянцам, раздробленным и под властью других государств.;;;;;;;;;
Pillole di Storia;4;"Il romanzo di Dan Brown ""Il codice da Vinci"" ha reso quest'affresco di Leonardo oggetto di interesse mondiale e di numerose teorie del complotto. Di quale affresco si tratta?";Роман Дэна Брана «Код да Винчи» сделал эту фреску Леонардо объектом мирового интереса и многочисленных теорий заговора. О какой фреске идёт речь?;"«Тайная вечеря» / ""Il Cenacolo"" или ""L'Ultima Cena"".";;;;;;;;;
Pillole di Storia;5;Come si chiama il principale concorso canoro italiano, che si svolge quasi ininterrottamente dal 1951 e ha regalato al mondo star come Domenico Modugno, Adriano Celentano e Lucio Dalla?;Как называется главный песенный конкурс Италии, который проводится почти непрерывно с 1951 года и подарил миру таких звёзд, как Доменико Модуньо, Адриано Челентано и Лучо Дала?;Фестиваль итальянской песни в Сан-Ремо / Festival della Canzone Italiana di Sanremo.;;;;;;;;;
Pillole di Storia;6;La vita di quale scienziato italiano, rivoluzionario nella scienza, ha ispirato l'opera teatrale di Bertolt Brecht e il film biografico di Liliana Cavani?;Жизнь какого итальянского учёного, революционера в науке, легла в основу пьесы Бертольта Брехта и биографического фильма Лилианы Кавани? ;Галилео Галилей;;;;;;;;;
Pillole di Storia;7;Chi ha affrescato il soffitto della Cappella Sistina in Vaticano?;Кто расписал потолок Сикстинской капеллы в Ватикане?;Michelangelo  Buonarroti;;;;;;;;;
Pillole di Storia;8;"Questo poeta, autore della ""Divina Commedia"", non solo ha creato la più grande opera della letteratura italiana, ma ha di fatto formato un'unica lingua letteraria italiana. In quale città fu esiliato e non poté più farvi ritorno, cosa che rimpiange nella sua opera?";Этот поэт, автор «Божественной комедии», не только создал величайшее произведение итальянской литературы, но и фактически сформировал единый итальянский литературный язык. В какой город он был изгнан и больше никогда не смог в него вернуться, о чём скорбит в своей поэме?;Флоренция;;;;;;;;;
Pillole di Storia;9;"Quale grande attore italiano, premio Oscar e simbolo dell'eleganza maschile italiana, ha interpretato i ruoli principali in tre film fondamentali di Fellini: ""La dolce vita"" (1960), ""8½"" (1963) e ""Ginger e Fred"" (1986)?";Какой великий итальянский актёр, обладатель «Оскара» и символ итальянской мужской элегантности, сыграл главные роли в трёх ключевых фильмах Феллини: «Сладкая жизнь» (1960), «8½» (1963) и «Джинджер и Фред» (1986)?;Marcello Mastroianni;;;;;;;;;
Pillole di Storia;10;Come si chiama la corrente nel cinema e nella letteratura italiana della metà del XX secolo, caratterizzata dall'interesse per la vita delle persone comuni, riprese in esterni, l'uso di attori non professionisti e la riflessione dei problemi sociali del dopoguerra?;Как называется направление в итальянском кинематографе и литературе середины XX века, для которого характерны интерес к жизни простых людей, съёмки на натуре, использование непрофессиональных актёров и отражение послевоенных социальных проблем?;Neorealismo;;;;;;;;;
Pillole di Storia;11;Per quale squadra di calcio italiana ha giocato Diego Maradona al culmine della sua carriera, dal 1984 al 1991, portandola a due scudetti e alla vittoria della Coppa UEFA?;За какую итальянскую футбольную команду Диего Марадона играл на пике своей карьеры, с 1984 по 1991 год, приведя её к двум скудетто и победе в Кубке УЕФА?;Napoli;;;;;;;;;
